Date,WhHf,ChWhHf,BuWhHf,WhHf Sub,Sn Hf,Sn St,Ur,Notes
12/10/2021,0,0,0,0,0,1,1,
12/10/2021,0,0,0,0,0,1,0,
12/10/2021,0,0,0,0,0,1,0,
12/10/2021,0,0,0,0,0,1,0,
12/10/2021,0,0,0,0,0,1,0,
12/10/2021,0,0,0,0,0,1,0,
12/10/2021,0,0,0,0,0,1,1,
12/10/2021,0,0,0,0,0,1,1,
12/10/2021,0,0,0,0,0,1,0,
12/10/2021,0,0,0,0,0,1,1,
12/10/2021,0,0,0,0,1,0,0,
12/10/2021,0,0,0,0,0,1,1,
12/10/2021,0,0,0,0,0,1,0,
12/10/2021,0,1,1,Ba,0,0,0,
12/10/2021,0,0,0,0,0,1,1,
12/10/2021,0,0,0,0,0,1,1,
12/10/2021,0,0,0,0,1,0,1,
12/10/2021,0,1,0,0,0,0,0,
12/10/2021,0,0,0,0,0,1,1,
12/10/2021,0,0,1,0,0,0,0,
12/10/2021,0,0,1,0,0,0,0,
12/11/2021,0,0,0,0,0,1,0,
12/11/2021,0,0,0,0,0,1,0,
12/12/2021,0,0,0,0,0,1,1,
12/12/2021,0,0,0,0,1,0,1,
12/12/2021,1,0,0,My,0,0,0,Ba
12/12/2021,1,0,0,My,0,0,0,Ba
12/12/2021,0,0,0,0,0,1,0,
12/12/2021,0,0,0,0,1,0,0,
12/18/2021,0,0,0,0,1,0,0,
12/24/2021,0,0,0,0,0,1,0,
12/25/2021,0,0,0,0,0,1,0,
